geneId,cid
2,CID005316774
2,CID000079040
2,CID005280647
2,CID000012389
2,CID100012389
2,CID000006434
2,CID100006434
2,CID000004724
2,CID005281814
2,CID000014297
2,CID000441784
2,CID005316456
2,CID046887678
2,CID005281762
2,CID000010721
2,CID000067254
2,CID100185825
2,CID000185825
2,CID100005099
2,CID000019848
2,CID000016592
2,CID000124025
2,CID100124025
2,CID105281680
2,CID005281680
2,CID005281783
2,CID005283344
2,CID005283356
2,CID000638309
2,CID000003504
2,CID005318599
2,CID005281675
2,CID105281675
2,CID005282105
2,CID044559641
2,CID005282154
2,CID000101523
2,CID000164682
2,CID005281793
2,CID005318650
2,CID000064983
2,CID009841740
2,CID005319422
2,CID023634493
2,CID005316525
2,CID005280644
2,CID005472495
2,CID003083536
2,CID003083515
2,CID000004134
2,CID000005996
2,CID000006999
2,CID000003219
2,CID000259864
2,CID005319633
2,CID000092803
2,CID000119451
2,CID000072506
2,CID000072327
2,CID000092786
2,CID044424402
2,CID000119245
2,CID000019220
2,CID000015510
2,CID000002866
2,CID000000305
2,CID000092099
2,CID000073499
2,CID000014357
2,CID000073611
2,CID000010589
2,CID000471119
2,CID100471119
2,CID100008094
2,CID000008094
2,CID000066654
2,CID000004160
2,CID000094147
2,CID100094147
2,CID000036403
2,CID105317737
2,CID100036403
2,CID005317750
2,CID000073064
2,CID000010100
2,CID000445072
2,CID000439203
2,CID000442416
2,CID100124614
2,CID000124614
2,CID000012322
2,CID100073432
2,CID000006781
2,CID100073170
2,CID000442836
2,CID000381232
2,CID000010865
2,CID100160512
2,CID005280459
2,CID000005988
2,CID000012594
2,CID000072326
2,CID000072712
2,CID100008892
2,CID000008892
2,CID003081224
2,CID000146824
2,CID006448299
2,CID000094391
2,CID000072279
2,CID116132219
2,CID100031211
2,CID000009233
2,CID000073062
2,CID100073062
2,CID000008438
2,CID000440738
2,CID000008730
2,CID009548717
2,CID015558799
2,CID000107983
2,CID000001018
2,CID000001140
2,CID000012510
2,CID000005572
2,CID000031211
2,CID000115245
2,CID006327189
2,CID000010506
2,CID100010506
2,CID000492405
2,CID000092802
2,CID100129670
2,CID000126324
2,CID100126324
2,CID005317564
2,CID000096946
2,CID000126012
2,CID006428542
2,CID000008164
2,CID000011634
2,CID000250397
2,CID000015407
2,CID000068783
2,CID005281744
2,CID006537501
2,CID000442662
2,CID000007410
2,CID000086608
2,CID100086608
2,CID000000126
2,CID000005639
2,CID005319630
2,CID000096725
2,CID000148756
2,CID000064962
2,CID005284440
2,CID005281406
2,CID024832111
2,CID115559724
2,CID011979365
2,CID005484202
2,CID000008053
2,CID000033970
2,CID100033970
2,CID044428631
2,CID000086748
2,CID000008566
2,CID000008222
2,CID000336414
2,CID000000231
2,CID000644022
2,CID000638076
2,CID000092764
2,CID005281420
2,CID105273569
2,CID146881127
2,CID000120682
2,CID100120682
2,CID014655079
2,CID114655079
2,CID044630454
2,CID005281304
2,CID005460291
2,CID009547243
2,CID000003886
2,CID000638015
2,CID000091468
2,CID000161466
2,CID005488844
2,CID005319502
2,CID005281795
2,CID005281244
2,CID000457825
2,CID000442809
2,CID000442673
2,CID000119043
2,CID000072725
2,CID000069520
2,CID100442688
2,CID000005145
2,CID000004115
2,CID000003218
2,CID100005145
2,CID000043805
2,CID000026346
2,CID103035039
2,CID000012298
2,CID000091461
2,CID000011232
2,CID003037886
2,CID000197093
2,CID100072320
2,CID000029231
2,CID100029231
2,CID005315980
2,CID000006072
2,CID000065036
2,CID000001146
2,CID100008181
2,CID000008181
2,CID000014215
2,CID100002518
2,CID100010658
2,CID000016732
2,CID005281663
2,CID005281660
2,CID105281660
2,CID005281666
2,CID005320318
2,CID000656560
2,CID000010660
2,CID000092124
2,CID000007849
2,CID000010624
2,CID003084770
2,CID012313704
2,CID005487344
2,CID000159589
2,CID000011637
2,CID005748613
2,CID044577495
2,CID005281224
2,CID100092812
2,CID000147012
2,CID000145693
2,CID000002544
2,CID000007479
2,CID125200342
2,CID000003863
2,CID103365422
2,CID105315459
2,CID005315459
2,CID005318998
2,CID000072303
2,CID100072303
2,CID000002238
2,CID000008441
2,CID000077079
2,CID000021653
2,CID005281519
2,CID000017096
2,CID000008184
2,CID000000753
2,CID100081274
2,CID000441570
2,CID005460164
2,CID000094176
2,CID000092281
2,CID005281668
2,CID000003209
2,CID100003209
2,CID000092166
2,CID005280458
2,CID000067249
2,CID100067249
2,CID000197775
2,CID000253836
2,CID000441958
2,CID000162354
2,CID000159243
2,CID051346169
2,CID005281316
2,CID000129670
2,CID000441716
2,CID025245482
2,CID005318581
2,CID100441381
2,CID000441381
2,CID000015609
2,CID000010821
2,CID000171348
2,CID100091466
2,CID000091462
2,CID100092231
2,CID000092231
2,CID100082755
2,CID000082755
2,CID000099478
2,CID005280570
2,CID000013651
2,CID005320218
2,CID105320218
2,CID100010743
2,CID000010743
2,CID103083857
2,CID005280372
2,CID000002356
2,CID000098614
2,CID000068085
2,CID000821478
2,CID105058788
2,CID000033309
2,CID000013254
2,CID000010212
2,CID000031286
2,CID000008141
2,CID100008141
2,CID000160869
2,CID000068230
2,CID105316570
2,CID005316556
2,CID005320335
2,CID005317326
2,CID005317764
2,CID000008364
2,CID000010892
2,CID000010949
2,CID000008785
2,CID100016315
2,CID000016315
2,CID000102871
2,CID000031246
2,CID000007464
2,CID000010365
2,CID000003813
2,CID000000370
2,CID100092763
2,CID000092763
2,CID100643963
2,CID000073191
2,CID100073191
2,CID100441570
2,CID005281166
2,CID006325802
2,CID005280804
2,CID000009164
2,CID116129621
2,CID016129621
2,CID000063180
2,CID100063180
2,CID000073432
2,CID006433207
2,CID005280656
2,CID000011150
2,CID000011147
2,CID000007166
2,CID000064686
2,CID001550916
2,CID005281576
2,CID110045523
2,CID010045523
2,CID005281254
2,CID100441676
2,CID000161938
2,CID100001902
2,CID000008418
2,CID000073146
2,CID000159283
2,CID000101748
2,CID005320438
2,CID006918392
2,CID006433328
2,CID100007778
2,CID000003516
2,CID005281377
2,CID000006782
2,CID100445994
2,CID000445994
2,CID005315280
2,CID105315280
2,CID000159984
