geneId,cid
49,CID000001110
49,CID000000703
49,CID000000266
50,CID000000285
50,CID000010470
50,CID100000761
50,CID000011198
50,CID000005991
50,CID005281167
50,CID005280897
50,CID000000385
50,CID000000703
50,CID000444911
50,CID000006015
50,CID005281708
50,CID105281708
50,CID005280344
51,CID000010470
51,CID000000285
51,CID000005991
51,CID005281167
51,CID000011198
51,CID005280897
51,CID000000385
51,CID000000703
51,CID000008216
52,CID000005958
52,CID000000890
52,CID000098577
52,CID000485094
52,CID000000403
52,CID000004971
52,CID000124072
52,CID000005994
52,CID000736190
52,CID000002707
52,CID000021183
52,CID105281708
52,CID005281708
53,CID000439781
53,CID000023995
53,CID000006199
53,CID000005963
54,CID100000305
54,CID000005998
54,CID000005958
54,CID000000703
54,CID000445871
54,CID000001110
54,CID000222285
54,CID000167691
54,CID000000310
54,CID005280795
54,CID000000073
54,CID100000073
54,CID100000304
54,CID000445642
54,CID000005794
54,CID005280451
54,CID000006199
54,CID000000987
54,CID000000244
54,CID100000311
54,CID100543854
54,CID000002683
54,CID000444911
54,CID000008469
54,CID000221518
54,CID000011007
54,CID000000136
54,CID000099601
54,CID000444681
54,CID000000939
54,CID000005995
54,CID000005758
54,CID000023995
54,CID000005282
54,CID000065065
54,CID000000290
54,CID000445155
55,CID005280344
55,CID000005758
55,CID000005995
55,CID000006169
55,CID000006015
55,CID000005958
55,CID100000699
55,CID000005871
55,CID000024361
55,CID000004680
55,CID100004680
55,CID005280965
55,CID000002518
55,CID000005755
55,CID100000305
55,CID005281608
55,CID100151118
55,CID000445642
55,CID000441300
55,CID000072283
55,CID000000339
55,CID000005980
55,CID000000773
55,CID000002154
55,CID000002520
55,CID000439248
55,CID000016096
55,CID000022383
55,CID000107973
55,CID005281955
55,CID000065065
55,CID000005754
55,CID000036324
55,CID005352019
55,CID000006681
55,CID000000244
55,CID005281617
55,CID005320475
55,CID005281697
55,CID105281697
55,CID005281604
55,CID100000304
55,CID000439524
55,CID105281607
55,CID005281607
55,CID005320480
55,CID000004972
55,CID000001050
55,CID005280863
55,CID105280863
55,CID005281704
55,CID005281689
55,CID005280445
55,CID005280648
55,CID000513222
55,CID005318245
55,CID005281699
55,CID105280441
55,CID105281605
55,CID005281605
55,CID103025856
55,CID005281692
55,CID005280443
55,CID005280353
55,CID014605548
55,CID005281702
55,CID105281702
55,CID005281631
55,CID000188324
55,CID005281667
55,CID105281667
55,CID000010198
55,CID105281673
55,CID005281673
55,CID000185680
55,CID005320315
55,CID000160238
55,CID005318587
55,CID000441676
55,CID005316860
55,CID005317303
55,CID000001176
55,CID000073212
55,CID005281656
55,CID005281701
55,CID005280673
55,CID100002758
55,CID005281613
55,CID000097217
55,CID005379112
55,CID005322078
55,CID000162465
55,CID005281694
55,CID105281616
55,CID005281616
55,CID005319015
55,CID005322065
55,CID100442665
55,CID000442665
55,CID005281603
55,CID005315198
55,CID100000073
55,CID000000073
55,CID000011353
55,CID000006719
55,CID000072346
55,CID000068097
55,CID005271806
55,CID005280865
55,CID000445155
55,CID000073207
55,CID100000314
55,CID005318575
55,CID005315468
55,CID000005794
55,CID000005998
55,CID005280448
55,CID100000311
55,CID100543854
55,CID000002683
55,CID005317770
55,CID000000703
55,CID000008469
55,CID100061130
55,CID000151118
55,CID000006199
55,CID000005235
55,CID000000713
55,CID000011007
55,CID000007224
55,CID000000136
55,CID005481961
55,CID000145681
55,CID000000968
55,CID000000591
55,CID000099601
55,CID000444681
55,CID000442975
55,CID000000177
55,CID100000177
55,CID100000322
55,CID000000323
55,CID000018068
55,CID105281672
55,CID005281672
55,CID000091472
55,CID000009071
55,CID000005757
55,CID000000290
55,CID000010684
55,CID000072378
55,CID000031577
55,CID100101729
55,CID100092782
58,CID100000305
58,CID000005998
58,CID000005958
58,CID000222285
58,CID100010137
58,CID000173198
58,CID005280795
58,CID000001110
58,CID100000304
58,CID000439524
58,CID100086748
58,CID005281327
58,CID000006744
58,CID005281328
58,CID000071637
58,CID000221518
58,CID000006199
58,CID000000073
58,CID100000073
58,CID000006681
58,CID000005794
58,CID000031402
58,CID005280353
58,CID000000244
58,CID000099477
58,CID100000311
58,CID100543854
58,CID000002683
58,CID000008469
58,CID000010134
58,CID000091466
58,CID000011007
58,CID000000136
58,CID000010595
58,CID000247020
58,CID000099601
58,CID000444681
58,CID000167691
58,CID000445642
58,CID005280344
58,CID000005758
58,CID000000290
60,CID000000285
60,CID000445871
60,CID000444911
60,CID005319880
60,CID005320536
60,CID000008095
60,CID000689056
62,CID000007800
62,CID000007764
62,CID000008165
62,CID000006550
62,CID000445642
62,CID000006015
62,CID000005758
63,CID000005958
63,CID005497164
63,CID000445642
63,CID005283485
63,CID100000314
63,CID000000237
63,CID000007238
63,CID000145745
63,CID000005951
63,CID000008223
63,CID000006681
63,CID000000244
63,CID000447793
63,CID000000273
63,CID100000177
63,CID000005995
64,CID000000765
64,CID005280965
64,CID000000119
64,CID100000119
64,CID100522445
64,CID000031426
64,CID000005781
64,CID105281708
64,CID005281708
65,CID100000314
65,CID100000119
65,CID000000119
65,CID000031426
65,CID000023931
67,CID100301798
67,CID000005995
68,CID000011006
68,CID100011006
68,CID000000178
68,CID000005958
68,CID000000890
68,CID000005235
68,CID100000314
68,CID100003893
68,CID000107971
68,CID100107971
68,CID000005944
68,CID100000177
68,CID000000765
68,CID000000776
68,CID000000241
68,CID005280965
68,CID000000713
68,CID000000703
68,CID000005790
68,CID000024443
68,CID000000997
68,CID000439531
68,CID000000177
68,CID001548952
68,CID005281650
68,CID000006015
72,CID000023995
72,CID005280344
73,CID000089602
73,CID000008956
75,CID000000086
75,CID100000177
75,CID000000177
75,CID000125472
75,CID000000851
75,CID000000285
75,CID005280486
75,CID000001033
75,CID005282769
75,CID000010470
75,CID000000273
75,CID000007421
75,CID000001488
75,CID000001111
75,CID000000385
75,CID000002971
75,CID000006342
75,CID100000761
75,CID000221518
75,CID100000304
75,CID000012531
75,CID000442531
76,CID000125472
76,CID000001033
76,CID000000086
76,CID000010470
76,CID000000851
76,CID000007421
76,CID000000285
76,CID000000273
76,CID006326972
76,CID000000361
76,CID000002971
76,CID005280344
76,CID000014986
78,CID000000273
78,CID100000177
78,CID000005958
78,CID000000890
78,CID000000285
78,CID000006031
78,CID000092782
78,CID100000231
79,CID100000177
79,CID000000086
79,CID000000273
79,CID000092782
79,CID100000231
80,CID000007992
80,CID000000385
80,CID000005282
80,CID000000266
80,CID000000987
80,CID000000086
80,CID000000273
80,CID000092782
80,CID100000231
81,CID000000086
81,CID000092782
81,CID000493582
81,CID000007992
81,CID000000285
81,CID000000385
81,CID000000273
81,CID000439229
81,CID100008344
81,CID000008344
81,CID100000231
82,CID000000987
82,CID005280451
82,CID005280936
82,CID000006087
82,CID000444911
82,CID000000385
82,CID000000086
82,CID100008344
82,CID000008344
82,CID000000285
82,CID000000273
82,CID000092782
82,CID100000231
83,CID000007992
83,CID000000385
83,CID000000086
83,CID000000266
83,CID000005193
83,CID000005282
83,CID000000285
83,CID000000987
83,CID000493582
83,CID000023995
83,CID000000273
83,CID000000262
83,CID000092782
83,CID000689056
83,CID000001033
83,CID100008344
83,CID000008344
83,CID006326972
83,CID100000231
83,CID000014986
86,CID000023995
86,CID016738700
86,CID000006323
86,CID000006090
88,CID000001111
88,CID100000314
88,CID000000086
88,CID000000273
88,CID000015604
88,CID000001033
88,CID000001110
88,CID100000305
88,CID000005998
88,CID000002971
88,CID000101690
88,CID000445642
90,CID000005998
90,CID100000305
90,CID000072283
90,CID000001110
90,CID000173198
90,CID100010137
90,CID000445642
90,CID005283637
90,CID000006681
90,CID000643723
90,CID000005995
90,CID000005958
90,CID000444681
90,CID005282769
90,CID000072301
90,CID100065036
90,CID000006744
90,CID005280344
90,CID000222285
92,CID000005282
92,CID000002518
92,CID100011006
92,CID000011006
92,CID100440051
92,CID000012531
92,CID000012409
92,CID000114946
93,CID000000273
93,CID100000314
93,CID000003832
93,CID100000289
93,CID000000289
93,CID000000890
93,CID100000177
93,CID000006306
93,CID000005961
93,CID000000108
93,CID005280897
93,CID000069561
93,CID044587252
93,CID005281167
93,CID000439553
93,CID000000760
93,CID000010237
93,CID000441444
95,CID000023995
95,CID100000314
95,CID000005842
95,CID100000177
95,CID000000751
95,CID000017473
95,CID000024140
95,CID000006323
95,CID000005758
95,CID000006077
95,CID000445155
95,CID000008551
95,CID005464098
95,CID000005794
95,CID000000312
95,CID000000591
95,CID100000305
95,CID000005998
95,CID000000273
95,CID000439264
95,CID005281223
95,CID100003505
95,CID000003505
95,CID000005235
95,CID000005817
95,CID000000189
95,CID000000587
95,CID100000860
95,CID000000773
95,CID000001176
95,CID000006167
95,CID109986606
95,CID009986606
95,CID000024764
95,CID000000703
95,CID000089602
95,CID000024319
95,CID000000177
95,CID000060963
95,CID000000713
95,CID000005203
95,CID000005958
95,CID000444911
95,CID000000683
95,CID000005755
95,CID000000890
95,CID000000776
95,CID000000997
95,CID000006108
95,CID000024262
95,CID000006021
95,CID100004160
95,CID000005991
95,CID010676774
95,CID000000939
95,CID000005995
95,CID000001189
95,CID000000603
95,CID000009416
95,CID000439502
95,CID000002520
95,CID005288834
95,CID000145745
95,CID000000860
95,CID000002154
95,CID000023979
95,CID000174251
95,CID000005754
95,CID000005963
95,CID000006015
95,CID000006252
95,CID000002215
95,CID003084131
95,CID109938701
95,CID000000285
95,CID000009297
95,CID005280353
95,CID001548952
