herbid,diseaseId
HERB000032,HBDIS012495
HERB000032,HBDIS012631
HERB000032,HBDIS014148
HERB000032,HBDIS020428
HERB000032,HBDIS021459
HERB000032,HBDIS022285
HERB000032,HBDIS000185
HERB000032,HBDIS000981
HERB000032,HBDIS002872
HERB000032,HBDIS004608
HERB000032,HBDIS010865
HERB000032,HBDIS013072
HERB000032,HBDIS013089
HERB000032,HBDIS014588
HERB000032,HBDIS019210
HERB000032,HBDIS023896
HERB000032,HBDIS025743
HERB000034,HBDIS000057
HERB000034,HBDIS000072
HERB000034,HBDIS000084
HERB000034,HBDIS000256
HERB000034,HBDIS000339
HERB000034,HBDIS000389
HERB000034,HBDIS000456
HERB000034,HBDIS000512
HERB000034,HBDIS000515
HERB000034,HBDIS000516
HERB000034,HBDIS000542
HERB000034,HBDIS000577
HERB000034,HBDIS000578
HERB000034,HBDIS000992
HERB000034,HBDIS001023
HERB000034,HBDIS001085
HERB000034,HBDIS001133
HERB000034,HBDIS001338
HERB000034,HBDIS001607
HERB000034,HBDIS001677
HERB000034,HBDIS001702
HERB000034,HBDIS001703
HERB000034,HBDIS001704
HERB000034,HBDIS001718
HERB000034,HBDIS001737
HERB000034,HBDIS001754
HERB000034,HBDIS001811
HERB000034,HBDIS001815
HERB000034,HBDIS001848
HERB000034,HBDIS001908
HERB000034,HBDIS001966
HERB000034,HBDIS002020
HERB000034,HBDIS002085
HERB000034,HBDIS002099
HERB000034,HBDIS002111
HERB000034,HBDIS002118
HERB000034,HBDIS002128
HERB000034,HBDIS002130
HERB000034,HBDIS002166
HERB000034,HBDIS002262
HERB000034,HBDIS002286
HERB000034,HBDIS002308
HERB000034,HBDIS002400
HERB000034,HBDIS002409
HERB000034,HBDIS002625
HERB000034,HBDIS002682
HERB000034,HBDIS002713
HERB000034,HBDIS002733
HERB000034,HBDIS002784
HERB000034,HBDIS002919
HERB000034,HBDIS002922
HERB000034,HBDIS002943
HERB000034,HBDIS002987
HERB000034,HBDIS003002
HERB000034,HBDIS003082
HERB000034,HBDIS003133
HERB000034,HBDIS003216
HERB000034,HBDIS003217
HERB000034,HBDIS003279
HERB000034,HBDIS003353
HERB000034,HBDIS003648
HERB000034,HBDIS003761
HERB000034,HBDIS003812
HERB000034,HBDIS004285
HERB000034,HBDIS004306
HERB000034,HBDIS004310
HERB000034,HBDIS004312
HERB000034,HBDIS004333
HERB000034,HBDIS004348
HERB000034,HBDIS004393
HERB000034,HBDIS004397
HERB000034,HBDIS004421
HERB000034,HBDIS004426
HERB000034,HBDIS004440
HERB000034,HBDIS004452
HERB000034,HBDIS004472
HERB000034,HBDIS004475
HERB000034,HBDIS004477
HERB000034,HBDIS004479
HERB000034,HBDIS004489
HERB000034,HBDIS004916
HERB000034,HBDIS004966
HERB000034,HBDIS005188
