protein_id,compound_id
HBTAR000077,HBIN036524
HBTAR000077,HBIN036710
HBTAR000077,HBIN038396
HBTAR000077,HBIN038424
HBTAR000077,HBIN038445
HBTAR000077,HBIN039395
HBTAR000077,HBIN040626
HBTAR000077,HBIN041351
HBTAR000077,HBIN042693
HBTAR000077,HBIN045062
HBTAR000077,HBIN045811
HBTAR000077,HBIN045944
HBTAR000077,HBIN047130
HBTAR000077,HBIN047561
HBTAR000077,HBIN022632
HBTAR000077,HBIN028102
HBTAR000077,HBIN001991
HBTAR000077,HBIN001999
HBTAR000077,HBIN006110
HBTAR000077,HBIN019762
HBTAR000077,HBIN019764
HBTAR000077,HBIN025875
HBTAR000077,HBIN036564
HBTAR000077,HBIN038043
HBTAR000077,HBIN045028
HBTAR000077,HBIN020389
HBTAR000077,HBIN004061
HBTAR000077,HBIN004072
HBTAR000077,HBIN004356
HBTAR000077,HBIN004365
HBTAR000077,HBIN004614
HBTAR000077,HBIN004656
HBTAR000077,HBIN004661
HBTAR000077,HBIN004663
HBTAR000077,HBIN004676
HBTAR000077,HBIN004937
HBTAR000077,HBIN005137
HBTAR000077,HBIN005321
HBTAR000077,HBIN005484
HBTAR000077,HBIN005599
HBTAR000077,HBIN005631
HBTAR000077,HBIN005682
HBTAR000077,HBIN006092
HBTAR000077,HBIN006099
HBTAR000077,HBIN006344
HBTAR000077,HBIN006348
HBTAR000077,HBIN006351
HBTAR000077,HBIN006666
HBTAR000077,HBIN007475
HBTAR000077,HBIN008392
HBTAR000077,HBIN008400
HBTAR000077,HBIN008406
HBTAR000077,HBIN008534
HBTAR000077,HBIN008553
HBTAR000077,HBIN008562
HBTAR000077,HBIN008637
HBTAR000077,HBIN008647
HBTAR000077,HBIN008702
HBTAR000077,HBIN008703
HBTAR000077,HBIN008928
HBTAR000077,HBIN010592
HBTAR000077,HBIN010717
HBTAR000077,HBIN011806
HBTAR000077,HBIN011813
HBTAR000077,HBIN011926
HBTAR000077,HBIN012943
HBTAR000077,HBIN015946
HBTAR000077,HBIN016198
HBTAR000077,HBIN018781
HBTAR000077,HBIN020390
HBTAR000077,HBIN020406
HBTAR000077,HBIN021765
HBTAR000077,HBIN022264
HBTAR000077,HBIN024084
HBTAR000077,HBIN024332
HBTAR000077,HBIN024586
HBTAR000077,HBIN024749
HBTAR000077,HBIN024901
HBTAR000077,HBIN025270
HBTAR000077,HBIN025822
HBTAR000077,HBIN025837
HBTAR000077,HBIN025918
HBTAR000077,HBIN026439
HBTAR000077,HBIN026610
HBTAR000077,HBIN026872
HBTAR000077,HBIN026881
HBTAR000077,HBIN027576
HBTAR000077,HBIN028560
HBTAR000077,HBIN029339
HBTAR000077,HBIN029438
HBTAR000077,HBIN029648
HBTAR000077,HBIN029840
HBTAR000077,HBIN029891
HBTAR000077,HBIN030788
HBTAR000077,HBIN030805
HBTAR000077,HBIN033870
HBTAR000077,HBIN035161
HBTAR000077,HBIN035196
HBTAR000077,HBIN035410
HBTAR000077,HBIN035481
HBTAR000077,HBIN035798
HBTAR000077,HBIN035811
HBTAR000077,HBIN035813
HBTAR000077,HBIN036211
HBTAR000077,HBIN036645
HBTAR000077,HBIN036831
HBTAR000077,HBIN036858
HBTAR000077,HBIN036907
HBTAR000077,HBIN037130
HBTAR000077,HBIN037185
HBTAR000077,HBIN037186
HBTAR000077,HBIN037188
HBTAR000077,HBIN037191
HBTAR000077,HBIN037713
HBTAR000077,HBIN038026
HBTAR000077,HBIN039000
HBTAR000077,HBIN039070
HBTAR000077,HBIN039171
HBTAR000077,HBIN039838
HBTAR000077,HBIN040811
HBTAR000077,HBIN041336
HBTAR000077,HBIN041350
HBTAR000077,HBIN041407
HBTAR000077,HBIN041761
HBTAR000077,HBIN041806
HBTAR000077,HBIN042694
HBTAR000077,HBIN042852
HBTAR000077,HBIN044033
HBTAR000077,HBIN045937
HBTAR000077,HBIN046495
HBTAR000077,HBIN046523
HBTAR000077,HBIN048339
HBTAR000077,HBIN048340
HBTAR000077,HBIN048342
HBTAR000077,HBIN048348
HBTAR000077,HBIN048361
HBTAR000077,HBIN048368
HBTAR000077,HBIN048945
HBTAR000077,HBIN048953
HBTAR000082,HBIN014388
HBTAR000082,HBIN014399
HBTAR000082,HBIN017453
HBTAR000082,HBIN026609
HBTAR000082,HBIN030256
HBTAR000082,HBIN038424
HBTAR000082,HBIN022632
HBTAR000082,HBIN028102
HBTAR000082,HBIN034825
HBTAR000082,HBIN035081
HBTAR000082,HBIN037150
HBTAR000082,HBIN039508
HBTAR000082,HBIN006110
HBTAR000082,HBIN015727
HBTAR000082,HBIN025875
HBTAR000082,HBIN038043
HBTAR000082,HBIN046505
HBTAR000082,HBIN046506
HBTAR000082,HBIN048054
HBTAR000082,HBIN048058
HBTAR000082,HBIN020389
HBTAR000082,HBIN008637
HBTAR000082,HBIN008702
HBTAR000082,HBIN008703
HBTAR000082,HBIN010717
HBTAR000082,HBIN020406
HBTAR000082,HBIN024084
HBTAR000082,HBIN026439
HBTAR000082,HBIN037185
HBTAR000082,HBIN037186
HBTAR000082,HBIN037188
HBTAR000082,HBIN037191
HBTAR000083,HBIN007325
HBTAR000083,HBIN021620
HBTAR000083,HBIN029342
HBTAR000083,HBIN014685
HBTAR000083,HBIN028102
HBTAR000083,HBIN014693
HBTAR000083,HBIN020984
HBTAR000083,HBIN024084
HBTAR000083,HBIN000962
HBTAR000083,HBIN005531
HBTAR000083,HBIN009458
HBTAR000083,HBIN018131
HBTAR000083,HBIN020653
HBTAR000083,HBIN024817
HBTAR000083,HBIN028041
HBTAR000083,HBIN040255
HBTAR000084,HBIN007325
HBTAR000084,HBIN026460
HBTAR000084,HBIN034660
HBTAR000084,HBIN041721
HBTAR000084,HBIN014685
HBTAR000084,HBIN019751
HBTAR000084,HBIN039507
HBTAR000084,HBIN029658
HBTAR000084,HBIN020281
HBTAR000084,HBIN020389
HBTAR000084,HBIN037286
HBTAR000084,HBIN043778
HBTAR000084,HBIN009458
HBTAR000084,HBIN020653
HBTAR000084,HBIN024817
HBTAR000084,HBIN004074
HBTAR000084,HBIN038790
HBTAR000085,HBIN015858
HBTAR000085,HBIN030047
HBTAR000085,HBIN006119
HBTAR000085,HBIN020174
HBTAR000085,HBIN026399
HBTAR000085,HBIN029280
HBTAR000085,HBIN029342
HBTAR000085,HBIN034423
HBTAR000085,HBIN045566
HBTAR000085,HBIN014685
HBTAR000085,HBIN014693
HBTAR000085,HBIN021262
HBTAR000085,HBIN001991
HBTAR000085,HBIN001999
HBTAR000085,HBIN014467
HBTAR000085,HBIN015253
HBTAR000085,HBIN021250
HBTAR000085,HBIN021252
HBTAR000085,HBIN022375
HBTAR000085,HBIN025875
HBTAR000085,HBIN029658
HBTAR000085,HBIN036036
HBTAR000085,HBIN047457
HBTAR000085,HBIN023188
HBTAR000085,HBIN049200
HBTAR000085,HBIN037286
HBTAR000085,HBIN043778
HBTAR000085,HBIN005531
HBTAR000085,HBIN001538
HBTAR000085,HBIN008348
HBTAR000085,HBIN014272
HBTAR000085,HBIN015834
HBTAR000085,HBIN015853
HBTAR000085,HBIN016398
HBTAR000085,HBIN019307
HBTAR000085,HBIN019571
HBTAR000085,HBIN019837
HBTAR000085,HBIN019839
HBTAR000085,HBIN020107
HBTAR000085,HBIN021605
HBTAR000085,HBIN021608
HBTAR000085,HBIN021757
HBTAR000085,HBIN021843
HBTAR000085,HBIN022519
HBTAR000085,HBIN022831
HBTAR000085,HBIN024964
HBTAR000085,HBIN025981
HBTAR000085,HBIN026267
HBTAR000085,HBIN027382
HBTAR000085,HBIN027924
HBTAR000085,HBIN028431
HBTAR000085,HBIN028435
HBTAR000085,HBIN028518
HBTAR000085,HBIN030814
HBTAR000085,HBIN033254
HBTAR000085,HBIN034776
HBTAR000085,HBIN035055
HBTAR000085,HBIN036930
HBTAR000085,HBIN037061
HBTAR000085,HBIN037115
HBTAR000085,HBIN037138
HBTAR000085,HBIN037146
HBTAR000085,HBIN037638
HBTAR000085,HBIN037644
HBTAR000085,HBIN039018
HBTAR000085,HBIN040827
HBTAR000085,HBIN041372
HBTAR000085,HBIN041950
HBTAR000085,HBIN042390
HBTAR000085,HBIN044729
HBTAR000085,HBIN044795
HBTAR000085,HBIN044799
HBTAR000085,HBIN045576
HBTAR000085,HBIN046280
HBTAR000085,HBIN049199
HBTAR000086,HBIN042854
HBTAR000087,HBIN007325
HBTAR000087,HBIN006119
HBTAR000087,HBIN020174
HBTAR000087,HBIN026399
HBTAR000087,HBIN029280
HBTAR000087,HBIN029342
HBTAR000087,HBIN034423
HBTAR000087,HBIN045566
HBTAR000087,HBIN014685
HBTAR000087,HBIN014693
HBTAR000087,HBIN014467
HBTAR000087,HBIN021250
HBTAR000087,HBIN021252
HBTAR000087,HBIN022375
HBTAR000087,HBIN025875
HBTAR000087,HBIN029658
HBTAR000087,HBIN023188
HBTAR000087,HBIN049200
HBTAR000087,HBIN020281
HBTAR000087,HBIN020389
HBTAR000087,HBIN037286
HBTAR000087,HBIN043778
HBTAR000087,HBIN005531
HBTAR000087,HBIN001538
HBTAR000087,HBIN008348
HBTAR000087,HBIN015834
HBTAR000087,HBIN015853
HBTAR000087,HBIN016398
HBTAR000087,HBIN019571
HBTAR000087,HBIN020107
HBTAR000087,HBIN021757
HBTAR000087,HBIN022519
HBTAR000087,HBIN022831
HBTAR000087,HBIN027382
HBTAR000087,HBIN027924
HBTAR000087,HBIN028518
HBTAR000087,HBIN034776
HBTAR000087,HBIN035055
HBTAR000087,HBIN037061
HBTAR000087,HBIN037138
HBTAR000087,HBIN037146
HBTAR000087,HBIN039018
HBTAR000087,HBIN041950
HBTAR000087,HBIN042390
HBTAR000087,HBIN044729
HBTAR000087,HBIN044795
HBTAR000087,HBIN044799
HBTAR000087,HBIN045576
HBTAR000087,HBIN049199
HBTAR000087,HBIN026550
HBTAR000087,HBIN042505
HBTAR000087,HBIN044673
HBTAR000088,HBIN019307
HBTAR000090,HBIN024134
HBTAR000090,HBIN021845
HBTAR000090,HBIN048372
HBTAR000090,HBIN019571
HBTAR000090,HBIN042854
HBTAR000090,HBIN042854
HBTAR000090,HBIN042111
HBTAR000090,HBIN042111
HBTAR000090,HBIN022040
HBTAR000090,HBIN043899
HBTAR000090,HBIN040266
HBTAR000090,HBIN040403
HBTAR000090,HBIN020479
HBTAR000090,HBIN021985
HBTAR000090,HBIN019558
HBTAR000090,HBIN047173
HBTAR000090,HBIN031114
HBTAR000090,HBIN040737
HBTAR000090,HBIN042467
HBTAR000090,HBIN013151
HBTAR000090,HBIN019295
HBTAR000090,HBIN042199
HBTAR000092,HBIN033433
HBTAR000092,HBIN033434
HBTAR000092,HBIN034052
HBTAR000092,HBIN022632
HBTAR000092,HBIN006119
HBTAR000092,HBIN020174
HBTAR000092,HBIN026399
HBTAR000092,HBIN029280
HBTAR000092,HBIN029342
HBTAR000092,HBIN034423
HBTAR000092,HBIN045566
HBTAR000092,HBIN014685
HBTAR000092,HBIN019751
HBTAR000092,HBIN039507
HBTAR000092,HBIN001991
HBTAR000092,HBIN001999
HBTAR000092,HBIN014467
HBTAR000092,HBIN021250
HBTAR000092,HBIN021252
HBTAR000092,HBIN022375
HBTAR000092,HBIN025875
HBTAR000092,HBIN026067
HBTAR000092,HBIN029658
